Date,osk,sp500
1/2/2018,92.169998,2695.810059
1/3/2018,92.029999,2713.060059
1/4/2018,91.279999,2723.98999
1/5/2018,89.970001,2743.149902
1/8/2018,90.660004,2747.709961
1/9/2018,90.940002,2751.290039
1/10/2018,90.160004,2748.22998
1/11/2018,91.150002,2767.560059
1/12/2018,92.290001,2786.23999
1/16/2018,91.019997,2776.419922
1/17/2018,90.739998,2802.560059
1/18/2018,91.150002,2798.030029
1/19/2018,94.849998,2810.300049
1/22/2018,93.980003,2832.969971
1/23/2018,94.089996,2839.129883
1/24/2018,93.040001,2837.540039
1/25/2018,95.330002,2839.25
1/26/2018,96.239998,2872.870117
1/29/2018,92.68,2853.530029
1/30/2018,92.150002,2822.429932
1/31/2018,90.720001,2823.810059
2/1/2018,92.279999,2821.97998
2/2/2018,87.449997,2762.129883
2/5/2018,84.25,2648.939941
2/6/2018,85.139999,2695.139893
2/7/2018,85.120003,2681.659912
2/8/2018,83.290001,2581
2/9/2018,86.519997,2619.550049
2/12/2018,86.150002,2656
2/13/2018,85.370003,2662.939941
2/14/2018,86.620003,2698.629883
2/15/2018,87.040001,2731.199951
2/16/2018,84.989998,2732.219971
2/20/2018,84.43,2716.26001
2/21/2018,84.989998,2701.330078
2/22/2018,83.800003,2703.959961
2/23/2018,83.470001,2747.300049
2/26/2018,82.160004,2779.600098
2/27/2018,82.550003,2744.280029
2/28/2018,78.93,2713.830078
3/1/2018,78.339996,2677.669922
3/2/2018,77.330002,2691.25
3/5/2018,78.209999,2720.939941
3/6/2018,79.300003,2728.120117
3/7/2018,78.120003,2726.800049
3/8/2018,78.919998,2738.969971
3/9/2018,81.25,2786.570068
3/12/2018,79.830002,2783.02002
3/13/2018,79.370003,2765.310059
3/14/2018,78.580002,2749.47998
3/15/2018,78.089996,2747.330078
3/16/2018,79.32,2752.01001
3/19/2018,78.910004,2712.919922
3/20/2018,79.550003,2716.939941
3/21/2018,79.599998,2711.929932
3/22/2018,76.980003,2643.689941
3/23/2018,75.989998,2588.26001
3/26/2018,78.68,2658.550049
3/27/2018,77.050003,2612.620117
3/28/2018,76.239998,2605
3/29/2018,77.269997,2640.870117
4/2/2018,74.949997,2581.879883
4/3/2018,76.690002,2614.449951
4/4/2018,77.720001,2644.689941
4/5/2018,79.050003,2662.840088
4/6/2018,76.019997,2604.469971
4/9/2018,75.589996,2613.159912
4/10/2018,77.459999,2656.870117
4/11/2018,76.519997,2642.189941
4/12/2018,77.830002,2663.98999
4/13/2018,77.660004,2656.300049
4/16/2018,78.650002,2677.840088
4/17/2018,80.059998,2706.389893
4/18/2018,81.629997,2708.639893
4/19/2018,81.110001,2693.129883
4/20/2018,81.059998,2670.139893
4/23/2018,80.830002,2670.290039
4/24/2018,74.559998,2634.560059
4/25/2018,74.410004,2639.399902
4/26/2018,72.75,2666.939941
4/27/2018,72.339996,2669.909912
4/30/2018,72.160004,2648.050049
5/1/2018,71.050003,2654.800049
5/2/2018,70.790001,2635.669922
5/3/2018,71.919998,2629.72998
5/4/2018,72.379997,2663.419922
5/7/2018,73.32,2672.629883
5/8/2018,73.480003,2671.919922
5/9/2018,73.300003,2697.790039
5/10/2018,74.260002,2723.070068
5/11/2018,73.57,2727.719971
5/14/2018,74.769997,2730.129883
5/15/2018,74.959999,2711.449951
5/16/2018,75.57,2722.459961
5/17/2018,76.480003,2720.129883
5/18/2018,77.199997,2712.969971
5/21/2018,79.32,2733.01001
5/22/2018,77.82,2724.439941
5/23/2018,77.75,2733.290039
5/24/2018,77.599998,2727.76001
5/25/2018,76.269997,2721.330078
5/29/2018,75.550003,2689.860107
5/30/2018,76.419998,2724.01001
5/31/2018,72.75,2705.27002
6/1/2018,73.82,2734.620117
6/4/2018,73.919998,2746.870117
6/5/2018,74.080002,2748.800049
6/6/2018,75.589996,2772.350098
6/7/2018,74.809998,2770.370117
6/8/2018,75.550003,2779.030029
6/11/2018,75.470001,2782
6/12/2018,75.540001,2786.850098
6/13/2018,74.160004,2775.629883
6/14/2018,72.589996,2782.48999
6/15/2018,71.989998,2779.659912
6/18/2018,71.720001,2773.75
6/19/2018,70.059998,2762.590088
6/20/2018,70.18,2767.320068
6/21/2018,68.849998,2749.76001
6/22/2018,70,2754.879883
6/25/2018,69.480003,2717.070068
6/26/2018,69.580002,2723.060059
6/27/2018,69.410004,2699.629883
6/28/2018,69.029999,2716.310059
6/29/2018,70.32,2718.370117
7/2/2018,70.690002,2726.709961
7/3/2018,70.660004,2713.219971
7/5/2018,71.849998,2736.610107
7/6/2018,70.940002,2759.820068
7/9/2018,73.459999,2784.169922
7/10/2018,72.419998,2793.840088
7/11/2018,70.160004,2774.02002
7/12/2018,71.550003,2798.290039
7/13/2018,73.599998,2801.310059
7/16/2018,72.5,2798.429932
7/17/2018,72.970001,2809.550049
7/18/2018,73.720001,2815.620117
7/19/2018,74.169998,2804.48999
7/20/2018,73.980003,2801.830078
7/23/2018,72.989998,2806.97998
7/24/2018,73.449997,2820.399902
7/25/2018,73.739998,2846.070068
7/26/2018,75.160004,2837.439941
7/27/2018,75.260002,2818.820068
7/30/2018,73.510002,2802.600098
7/31/2018,75.25,2816.290039
8/1/2018,71.669998,2813.360107
8/2/2018,72.43,2827.219971
8/3/2018,72.459999,2840.350098
8/6/2018,73.849998,2850.399902
8/7/2018,74.93,2858.449951
8/8/2018,73.260002,2857.699951
8/9/2018,72.029999,2853.580078
8/10/2018,70.389999,2833.280029
8/13/2018,69.980003,2821.929932
8/14/2018,69.949997,2839.959961
8/15/2018,67.919998,2818.370117
8/16/2018,69.230003,2840.689941
8/17/2018,70.639999,2850.129883
8/20/2018,70.330002,2857.050049
8/21/2018,70.989998,2862.959961
8/22/2018,69.43,2861.820068
8/23/2018,69.129997,2856.97998
8/24/2018,69.889999,2874.689941
8/27/2018,71.25,2896.73999
8/28/2018,71.309998,2897.52002
8/29/2018,71.629997,2914.040039
8/30/2018,70.050003,2901.129883
8/31/2018,70.260002,2901.52002
9/4/2018,69.730003,2896.719971
9/5/2018,70.580002,2888.600098
9/6/2018,70.309998,2878.050049
9/7/2018,69.889999,2871.679932
9/10/2018,70.139999,2877.129883
9/11/2018,70.400002,2887.889893
9/12/2018,71.220001,2888.919922
9/13/2018,71.75,2904.179932
9/14/2018,72.949997,2904.97998
9/17/2018,73.889999,2888.800049
9/18/2018,74.75,2904.310059
9/19/2018,75.5,2907.949951
9/20/2018,76.370003,2930.75
9/21/2018,76,2929.669922
9/24/2018,73.800003,2919.370117
9/25/2018,72.230003,2915.560059
9/26/2018,71.089996,2905.969971
9/27/2018,71.330002,2914
9/28/2018,71.239998,2913.97998
10/1/2018,71.099998,2924.590088
10/2/2018,71.190002,2923.429932
10/3/2018,72.440002,2925.51001
10/4/2018,72.099998,2901.610107
